name,dataset,subnets,h_size,seed,acc,train_time,test_time
lenet-pae-elm,0,1,100,22,0.9442,2.605076789855957,0.8403897285461426
lenet-pae-elm,0,1,100,432,0.9483,2.633286714553833,0.828326940536499
lenet-pae-elm,0,1,100,63,0.9472,2.6035332679748535,0.8581714630126953
lenet-pae-elm,0,1,100,754,0.9472,2.605072021484375,0.8289816379547119
lenet-pae-elm,0,1,100,3456,0.9393,2.6279430389404297,0.8271262645721436
lenet-pae-elm,0,1,100,5,0.9463,2.631319999694824,0.835496187210083
lenet-pae-elm,0,1,100,6677,0.9475,2.591756582260132,0.8300654888153076
lenet-pae-elm,0,1,100,876,0.9451,2.6299853324890137,0.9353859424591064
lenet-pae-elm,0,1,100,213,0.952,3.3934648036956787,1.1260650157928467
lenet-pae-elm,0,1,100,5444,0.9475,3.00944185256958,0.8792898654937744
lenet-pae-elm,0,2,100,22,0.9609,4.0111401081085205,1.0380194187164307
lenet-pae-elm,0,2,100,432,0.9646,3.83551287651062,1.0336754322052002
lenet-pae-elm,0,2,100,63,0.9615,4.2690675258636475,0.8944621086120605
lenet-pae-elm,0,2,100,754,0.9639,3.4638845920562744,0.9216911792755127
lenet-pae-elm,0,2,100,3456,0.963,3.3805997371673584,0.8904054164886475
lenet-pae-elm,0,2,100,5,0.9652,3.3459250926971436,0.8603942394256592
lenet-pae-elm,0,2,100,6677,0.9626,3.352511167526245,0.8688168525695801
lenet-pae-elm,0,2,100,876,0.9658,3.4814138412475586,0.8997416496276855
lenet-pae-elm,0,2,100,213,0.9634,3.359776258468628,0.884033203125
lenet-pae-elm,0,2,100,5444,0.9638,3.335679054260254,0.8811326026916504
lenet-pae-elm,0,3,100,22,0.9668,3.9481544494628906,0.9179115295410156
lenet-pae-elm,0,3,100,432,0.9659,3.9405927658081055,0.9254722595214844
lenet-pae-elm,0,3,100,63,0.9708,3.9343678951263428,0.9425156116485596
lenet-pae-elm,0,3,100,754,0.9725,3.9241783618927,0.940239667892456
